Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 0.73 2.16 1.60 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.55 0.00 
2020 -0.39 0.80 0.26 2.74 0.64 -1.07 0.82 -2.18 -1.48 -0.34 1.52 -1.36 -0.15 -4.20 
2019 -0.06 -1.22 -2.33 0.27 4.97 1.13 -0.95 -3.42 1.34 -0.04 -2.48 2.50 -0.58 -5.50 
2018 -0.17 -0.51 2.22 0.59 0.49 0.17 0.00 -1.47 1.30 -1.92 -0.91 0.41 0.13 -3.00 
2017 -1.13 1.03 0.79 1.58 0.73 4.41 -2.28 -2.80 0.65 0.50 0.04 0.30 3.69 -5.02 
2016 0.65 0.40 0.50 -5.18 -1.23 0.35 1.09 -1.98 0.13 -0.29 0.13 0.71 -4.78 -7.02 
2015 0.81 -0.46 2.20 0.55 0.92 -1.34 3.49 0.79 -0.76 0.16 0.41 0.35 7.26 -1.34 
2014 -0.54 -4.16 -1.55 -1.73 1.46 3.42 1.96 0.51 0.17 -5.16 2.25 0.96 -2.74 -7.78 
2013 -0.03 1.10 0.52 0.36 1.49 -0.56 0.97 0.13 0.59 -0.05 -0.16 0.88 5.35 -0.56 
2012 1.83 -0.57 -3.75 -0.86 0.93 0.02 2.01 1.52 0.06 1.33 -0.59 0.08 1.89 -5.12 
2011 0.01 0.14 2.56 2.32 1.57 2.66 0.90 -1.81 2.22 1.18 1.13 -0.85 12.59 -1.81 
2010 11.74 -0.78 0.96 6.14 -1.53 7.32 -6.21 1.79 1.97 2.26 1.02 0.70 27.14 -6.21 
2009 1.32 -7.66 -2.68 1.43 6.01 7.04 -4.30 3.49 1.42 4.46 1.31 -7.04 3.56 -10.13 
2008 0.0 0.0 0.0 8.05 4.05 0.09 0.76 0.57 -0.03 -0.48 1.55 0.07 15.29 -0.51 
Program / Index Mar Qtr YTD 1yr 3yr 5yr 10yr Since4/2008 
Plutus Grain Strategy 1.60 3.79 4.55 0.94 1.76 6.55 23.08 96.35 
S&P 500 4.24 9.21 9.21 58.70 55.31 97.12 206.17 208.33 
+/- S&P 500 -2.64 -5.41 -4.65 -57.76 -53.55 -90.57 -183.09 -111.98 
Type Managed Account 
Minimum Investment $ 250k 
Trading Level Incremental Increase $ 250k 
CTA Max Funding Factor  
Management Fee 2.00% 
Performance Fee 20.00% 
Average Commission $8.00 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency Daily 
Redemption Frequency Daily 
Investor Requirements QEP 
Lock-up Period 0 
Trading Frequency 1800 RT/YR/$M 
Avg. Margin-to-Equity 2% 
Targeted Worst DD 12.00% 
Worst Peak-to-Trough 10.13% 
Sector Focus Agricultural Traders 
Over 12 Months 0% 
4-12 Months 0% 
1-3 Months 25.00% 
1-30 Days 75.00% 
Intraday 0% 
Discretionary 100.00% 
Systematic 0% 
Index Award Type Rank Performance Period 
Agricultural Trader Index Month 7 1.57 5/2011 
Agricultural Trader Index Month 7 2.56 3/2011 
Agricultural Trader Index Month 5 1.02 11/2010 
Agricultural Trader Index Month 10 1.79 8/2010 
Agricultural Trader Index Month 2 7.32 6/2010 
Discretionary Trader Index Month 3 7.32 6/2010 
Agricultural Trader Index Month 4 6.14 4/2010 
Discretionary Trader Index Month 6 6.14 4/2010 
Agricultural Trader Index Month 8 0.96 3/2010 
Agricultural Trader Index Month 10 -0.78 2/2010 
Agricultural Trader Index Month 2 11.74 1/2010 
IASG CTA Index Month 2 11.74 1/2010 
Discretionary Trader Index Month 2 11.74 1/2010 
Agricultural Trader Index Month 4 1.31 11/2009 
Agricultural Trader Index Month 3 4.46 10/2009 
Discretionary Trader Index Month 10 4.46 10/2009 
Agricultural Trader Index Month 8 1.42 9/2009 
Agricultural Trader Index Month 8 3.49 8/2009 
Discretionary Trader Index Month 7 7.04 6/2009 
Agricultural Trader Index Month 4 7.04 6/2009 
Agricultural Trader Index Month 5 6.01 5/2009 
Agricultural Trader Index Month 8 1.43 4/2009 
Agricultural Trader Index Month 8 1.32 1/2009 
Agricultural Trader Index Month 9 0.07 12/2008 
Agricultural Trader Index Month 6 1.55 11/2008 
Agricultural Trader Index Month 10 -0.48 10/2008 
Agricultural Trader Index Month 6 -0.03 9/2008 
Agricultural Trader Index Month 10 0.57 8/2008 
Agricultural Trader Index Month 5 0.76 7/2008 
Agricultural Trader Index Month 4 4.05 5/2008 
Discretionary Trader Index Month 10 4.05 5/2008 
Agricultural Trader Index Month 10 0.00 4/2008 
Program Name CAROR 
Leonidas Macro Fund 13.27% 
Zephyrus Livestock Strategy 11.62% 
Vulcan Metals Strategy 11.14% 
Leonidas Energy Program 5.70% 
Plutus Grain Strategy 5.33% 
Mercurio Quantitative Program 5.02% 
Proteus Dynamic Volatility Program 2.31% 
Fundamental 75.00%
Option-purchasing 5.00%
Trend-following 20.00%
Grains 100.00%
Annualized Vol 8.52%
Sharpe (RFR=1%) 0.54
CAROR 5.33%
Assets $ 23.3M
Worst DD -10.13
S&P  Correlation 0.00
