Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec YTD DD 
2021 -2.83 8.78 3.08 7.97 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 17.64 -2.83 
2020 3.23 1.46 15.55 0.76 -2.75 -4.52 -0.39 1.26 -6.34 -1.16 0.57 9.29 16.21 -13.30 
2019 -4.06 3.22 12.14 2.97 4.08 7.60 5.24 20.76 -16.15 -8.99 4.62 -3.01 26.02 -23.69 
2018 20.68 -28.35 -1.86 6.06 -9.37 2.59 -3.06 4.60 0.88 -14.40 -8.47 6.78 -28.39 -44.43 
2017 -3.85 8.46 -4.66 -1.68 -3.48 -7.82 -3.55 -0.56 -2.40 19.57 2.24 5.98 5.48 -21.93 
2016 8.64 6.34 -5.81 -3.75 -2.37 16.31 0.69 -6.12 -0.82 -14.92 -5.99 4.62 -6.70 -25.53 
2015 13.77 -4.86 7.08 -15.37 4.71 -15.51 15.93 -3.52 8.62 -6.05 12.15 -7.79 2.43 -25.13 
2014 -6.22 -1.07 -7.01 -1.30 0.48 1.51 -3.76 12.72 15.62 -4.37 19.86 6.58 33.08 -16.41 
2013 2.01 7.30 1.37 10.05 -4.05 1.13 -2.55 0.84 -6.28 8.45 11.25 4.54 37.63 -10.63 
2012 1.03 -3.89 -0.39 2.03 2.61 -11.13 -1.24 -6.14 -3.39 -9.25 -3.14 1.46 -28.13 -30.04 
2011 4.37 -0.34 -10.44 5.34 -5.81 -1.67 14.25 4.71 1.99 -7.46 1.44 -2.11 1.90 -12.92 
2010 -19.53 13.81 10.33 8.28 3.41 0.30 -3.76 15.56 -2.14 14.99 -10.22 8.61 38.48 -19.53 
2009 -6.27 1.65 -8.37 0.94 10.34 -8.04 -7.31 5.03 3.70 -8.79 11.12 -11.39 -18.93 -18.93 
2008 16.15 24.52 -3.06 -5.73 7.36 3.81 -9.52 4.78 4.85 26.55 14.06 7.28 126.74 -9.52 
2007 5.87 -10.92 -6.40 5.59 11.28 7.36 -16.50 -15.78 15.11 1.88 2.50 1.85 -4.13 -29.68 
2006 -3.78 -2.86 9.49 15.20 -4.86 -5.21 -8.73 -2.79 -0.90 -1.11 7.28 -0.03 -0.86 -21.59 
2005 -5.49 -5.27 0.03 -10.59 12.26 6.13 -3.26 -1.59 -4.52 3.10 7.22 -6.33 -10.21 -19.93 
2004 0.50 17.11 3.13 -16.91 -3.51 -5.88 -4.93 3.85 -2.01 10.75 9.13 -3.08 3.80 -28.26 
2003 12.07 16.62 -21.80 -1.25 10.98 -14.00 -5.30 8.49 -5.64 -2.82 -4.13 -0.50 -13.43 -33.76 
2002 -1.42 -7.15 -1.72 -5.93 4.67 20.47 23.49 13.19 18.10 -17.65 -11.02 20.47 55.49 -26.72 
2001 -1.27 3.45 15.01 -19.08 0.52 -6.22 -1.35 15.20 11.19 19.33 -22.67 0.64 5.15 -24.75 
2000 3.71 -1.80 -8.38 -13.71 -1.14 -2.71 -4.07 7.91 -5.50 6.50 27.06 34.42 37.80 -28.37 
1999 -16.78 16.01 -3.55 5.20 5.21 4.98 -6.93 4.13 -5.09 -18.63 2.69 -5.20 -21.17 -27.14 
1998 10.30 -3.97 5.47 -19.26 0.82 3.39 -1.30 25.46 15.25 -7.36 -8.47 5.93 20.52 -19.26 
1997 11.43 -0.33 2.41 -10.71 -7.31 -6.41 26.72 -20.94 9.73 0.32 1.99 2.48 1.55 -22.54 
1996 15.68 -27.28 19.08 7.91 -3.50 3.06 -20.85 -3.17 3.37 20.61 24.99 -0.25 28.07 -28.77 
1995 -8.93 20.02 28.91 9.99 -6.09 7.04 -3.01 13.60 -10.04 4.11 3.32 5.41 75.08 -10.04 
1994 0.0 0.0 0.0 0.0 0.0 13.76 -7.07 -11.31 -7.85 -8.75 0.77 -3.03 -22.96 -32.28 
Program / Index Apr Qtr YTD 1yr 3yr 5yr 10yr Since6/1994 
"D'Best Futures Fund, L.P. 7.97 21.07 17.64 12.11 37.09 15.93 70.02 1,123.23 "
S&P 500 5.24 16.22 14.93 48.22 63.01 106.89 213.29 861.68 
+/- S&P 500 2.73 4.84 2.71 -36.11 -25.92 -90.96 -143.26 261.55 
Type Fund 
Minimum Investment $ 100k 
Trading Level Incremental Increase $ 0k 
CTA Max Funding Factor  
Management Fee 0% 
Performance Fee 25.00% 
Average Commission $0 
Available to US Investors Yes 
High Water Mark Yes 
Subscription Frequency 15-30 Days 
Redemption Frequency 15-30 Days 
Investor Requirements Accredited Investors 
Lock-up Period 0 
Trading Frequency 4000 RT/YR/$M 
Avg. Margin-to-Equity 18% 
Targeted Worst DD  
Worst Peak-to-Trough  
Sector Focus Diversified Traders 
Over 12 Months 0% 
4-12 Months 0% 
1-3 Months 0% 
1-30 Days 0% 
Intraday 0% 
Discretionary 0% 
Systematic 100.00% 
Index Award Type Rank Performance Period 
Trend Following Strategy Index Month 2 18.10 9/2002 
Program Name CAROR 
DUNN World Volatility Program (WVP) 13.44% 
World Monetary and Agriculture Program (WMA) 12.84% 
"D'Best Futures Fund, L.P. 9.75% "
DUNN WMA Institutional Program 4.37% 
Pattern Recognition 34.00%
Technical 14.00%
Trend-following 52.00%
Interest Rates 26.00%
Stock Indices 20.00%
Softs 14.00%
Currency Futures 13.00%
Energy 12.00%
Grains 6.00%
Livestock 4.00%
Precious Metals 3.00%
Industrial Metals 2.00%
Annualized Vol 34.91%
Sharpe (RFR=1%) 0.41
CAROR 9.75%
Assets $ 57.0M
Worst DD -52.07
S&P  Correlation -0.14
